Graph,Representation,Memory_MB,Avg_BFS_Time_ms,Avg_DFS_Time_ms,BFS_Parent_10_Start1,BFS_Parent_20_Start1,BFS_Parent_30_Start1,BFS_Parent_10_Start2,BFS_Parent_20_Start2,BFS_Parent_30_Start2,BFS_Parent_10_Start3,BFS_Parent_20_Start3,BFS_Parent_30_Start3,DFS_Parent_10_Start1,DFS_Parent_20_Start1,DFS_Parent_30_Start1,DFS_Parent_10_Start2,DFS_Parent_20_Start2,DFS_Parent_30_Start2,DFS_Parent_10_Start3,DFS_Parent_20_Start3,DFS_Parent_30_Start3,Distance_10_20,Distance_10_30,Distance_20_30,Num_Components,Largest_Component,Smallest_Component,Diameter,Approximate_Diameter
grafo_2,AdjacencyList,84944,82.1586,74.084,-1,-1,-1,1351,-1,-1,-1,46738,12999,-1,-1,-1,3946,-1,-1,-1,217,0,-1,-1,3,10,25000,48,15,15
grafo_2,AdjacencyMatrix,438064,312.434,280.829,-1,-1,-1,1351,-1,-1,-1,46738,12999,-1,-1,-1,3946,-1,-1,-1,217,0,-1,-1,3,10,25000,48,7,7
