Graph,Representation,Memory_MB,Avg_BFS_Time_ms,Avg_DFS_Time_ms,BFS_Parent_10_Start1,BFS_Parent_20_Start1,BFS_Parent_30_Start1,BFS_Parent_10_Start2,BFS_Parent_20_Start2,BFS_Parent_30_Start2,BFS_Parent_10_Start3,BFS_Parent_20_Start3,BFS_Parent_30_Start3,DFS_Parent_10_Start1,DFS_Parent_20_Start1,DFS_Parent_30_Start1,DFS_Parent_10_Start2,DFS_Parent_20_Start2,DFS_Parent_30_Start2,DFS_Parent_10_Start3,DFS_Parent_20_Start3,DFS_Parent_30_Start3,Distance_10_20,Distance_10_30,Distance_20_30,Num_Components,Largest_Component,Smallest_Component,Diameter,Approximate_Diameter
grafo_1,AdjacencyList,8400,5.32179,4.40525,2042,8382,2394,8935,9071,3555,7685,9543,0,709,666,86,709,666,86,709,666,0,3,3,4,1,10000,10000,5,5
grafo_1,AdjacencyMatrix,30144,37.572,38.3263,2042,8382,2394,8935,9071,3555,7685,9543,-1,709,666,86,709,666,86,709,666,671580160,3,3,4,1,10000,10000,5,5
